est_diameter_min,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous,mean_est_diameter,id_name
0.0160160338,0.0358129403,56014.0785167728,1024332.998091984,26.1,False,0.025914487049999997,3561024: (2011 GZ2)
0.0305179233,0.0682401509,19795.605238231,44697584.54588417,24.7,False,0.0493790371,54016766: (2020 HT6)
0.0555334912,0.1241766613,53634.056207407695,43053521.53126533,23.4,False,0.08985507625,3746620: (2016 ED156)
0.0192555078,0.0430566244,36238.24086909129,34285534.67430692,25.7,False,0.031156066099999994,3633054: (2013 FD8)
0.1394938228999999,0.3119176705,41948.29697926758,49459582.0453272,21.4,False,0.22570574669999996,3742124: (2016 CW31)
0.046190746,0.10806660015427778,30166.059904026522,30204808.885653216,23.8,False,0.07712867307713889,3395961: (2007 WU3)
0.1160259082,0.2594418179,46969.51846690893,34446639.34897108,21.8,False,0.18773386305,3826808: (2018 PH22)
0.0211132445,0.0472106499,26268.71075445389,38722010.50946918,25.5,False,0.0341619472,3339667: (2006 QV89)
0.2210828104,0.4943561925999999,31444.563080322077,54106114.34067151,20.4,False,0.3577195015,3644044: (2013 LL31)
0.2424124811,0.5420507863,52743.8132751013,63041997.1974466,20.2,False,0.3922316337,3655750: (2014 AC16)
0.0421264611,0.0941976306,47856.57917566185,33201445.257877022,24.0,False,0.06816204584999999,3825663: (2018 OB)
0.2111324448,0.47210649879999994,46214.655462925904,41285074.56568357,20.5,True,0.3416194718,2450300: 450300 (2004 QD14)
0.058150704,0.130028927,76626.21146838821,30864681.808687087,23.3,False,0.09408981549999999,3648206: (2013 RG74)
0.0766575574,0.1714115092,37436.52837405935,25564603.84532819,22.7,False,0.1240345333,3830872: (2018 SA2)
0.0334622374,0.0748238376,43558.78730436789,51993303.969608955,24.5,False,0.0541430375,3102771: (2002 AL31)
0.3210369174,0.7178603705,18685.713578242,44141203.569831446,19.59,False,0.51944864395,2425450: 425450 (2010 EV45)
0.0253837029,0.0567596853,32748.2341356176,4260990.3567322185,25.1,False,0.0410716941,3797673: (2018 AV11)
0.0023150212,0.0051765448,26440.066231192905,30997683.079058964,30.3,False,0.0037457830000000004,3836309: (2018 WV1)
0.1748054532,0.3908768761,47629.65501492372,48061407.75236679,20.91,False,0.28284116465,54223982: (2021 WO)
0.008405334,0.0187948982,46714.5216266918,26659685.300899554,27.5,False,0.0136001161,54099606: (2020 XB3)
0.0092162655,0.0206081961,34139.68794050793,44671039.777659774,27.3,False,0.0149122308,54051128: (2020 QF)
0.0334622374,0.0748238376,20406.121857724982,40868527.31287043,24.5,False,0.054143037500000005,3673918: (2014 MA6)
0.160160338,0.3581294029999999,5998.5569347628,57825126.32235765,21.1,False,0.25914487049999996,3603626: (2012 JM4)
0.04411182,0.0986370281,59904.50329682825,38362311.14496388,23.9,False,0.07137442405,3836108: (2018 VU4)
0.058150704,0.130028927,27841.718474356418,45183933.15280972,23.3,False,0.09408981549999999,3407945: (2008 GE)
0.040230458,0.08995803880000001,32206.510918689233,46460675.451268345,24.1,False,0.0650942484,3152311: (2003 GX)
0.014878357,0.0332690177999999,50531.064753478764,45028523.704755954,26.26,False,0.024073687399999946,54192756: (2021 RF3)
0.0133215566999999,0.0297879063,24839.140054655498,1691995.921393354,26.5,False,0.021554731499999952,3674178: (2014 MT41)
0.0288771931,0.0645713667,62627.21940805272,25780180.09313011,24.82,False,0.0467242799,3515381: (2010 GM23)
0.0802703167,0.1794898848,52311.06441776253,61734914.295496,22.6,False,0.12988010075,3837720: (2019 AV6)
0.1144339731,0.2558821427,28237.334681635566,60011194.04017913,21.83,False,0.18515805789999998,3673546: (2014 LX14)
0.0766575574,0.1714115092,48528.85817469458,45941203.360187285,22.7,False,0.1240345333,3869325: (2019 SR5)
0.0088014652,0.0196806745,6106.4899238949,6921333.515032377,27.4,False,0.01424106985,3574820: (2011 PN1)
0.0251509837,0.0562393094,23224.8981932338,5841469.682877883,25.12,False,0.04069514655,54208041: (2021 TQ10)
0.0052790403,0.0118042929,44924.92066137899,45230243.6119135,28.51,False,0.008541666600000001,54136185: (2021 GQ5)
0.0260948602999999,0.0583498816,50028.9496723528,35944903.033017084,25.04,False,0.04222237094999995,54123262: (2021 DT)
0.1394938228999999,0.3119176705,58033.661080281614,50578632.19467422,21.4,False,0.22570574669999996,3842613: (2019 KZ2)
0.0780827277,0.1745982871,94603.93936388013,31638182.09592467,22.66,False,0.1263405074,54266174: (2022 FG4)
0.0201629919,0.0450858205999999,19636.47284421055,19418028.718823142,25.6,False,0.03262440624999995,2478784: 478784 (2012 UV136)
0.1925550782,0.4305662442,27669.667229458864,48436394.568989076,20.7,False,0.31156066120000003,2337252: 337252 (2000 SD8)
0.0253837029,0.0567596853,38009.143365063224,60705463.262555465,25.1,False,0.0410716941,3943330: (2019 YD1)
0.185590173,0.4149922428000001,54456.42300898556,44931499.064076014,20.78,False,0.3002912079,3674502: (2014 NE39)
0.2111324448,0.47210649879999994,50550.30650815065,46374019.748127036,20.5,False,0.3416194718,2488803: 488803 (2005 GB120)
0.0384197891,0.0859092601,34001.6094159921,2372888.427609665,24.2,False,0.06216452459999999,3360546: (2006 WC30)
0.0608912622,0.1361570015,41224.75318157021,38705613.179114945,23.2,False,0.09852413185,3557530: (2011 CE50)
0.0154367182,0.0345175513,28789.0357637692,11829869.741176013,26.18,False,0.024977134749999998,54201823: (2021 TW)
0.0812372057,0.1816519142,79976.4798046068,6545076.15728884,22.574,False,0.13144455994999998,3267565: (2005 CU61)
0.0170041519,0.0380224396,37051.04099805627,33060612.181637943,25.97,False,0.02751329575,54239779: (2022 BQ)
0.04411182,0.09863702810000001,39831.612603848786,40753663.78043434,23.9,False,0.07137442405,3430492: (2008 TP26)
0.1332155667,0.2978790628,37342.086171135124,56041000.87186691,21.5,False,0.21554731475,3328821: (2006 FL10)
